Receiver time, Accel X,Y,Z, Gyro X,Y,Z, Quaternion W,X,Y,Z, dt(or)index
1375383817838,-241,-456,2041,-11,-18,7,1051584266,142665193,-54596633,154135940,-18376
1375383817841,-250,-447,2046,-12,-17,11,1051580851,142647319,-54646864,154157976,-18371
1375383817841,-231,-448,2050,-12,-12,11,1051578213,142626323,-54684263,154182132,-18365
1375383817878,-228,-442,2047,-13,-10,12,1051576038,142601266,-54714471,154209425,-18360
1375383817878,-216,-449,2052,-15,-10,12,1051574717,142569966,-54745275,154236443,-18355
1375383817883,-207,-434,2050,-17,-5,12,1051574937,142531500,-54761235,154264824,-18350
1375383817883,-200,-445,2037,-17,-6,10,1051576113,142491921,-54778458,154287255,-18345
1375383817885,-207,-439,2049,-17,-13,10,1051576126,142456840,-54814378,154306801,-18340
1375383817885,-212,-438,2049,-16,-22,8,1051575329,142427585,-54875125,154317644,-18335
1375383817887,-231,-443,2054,-11,-30,3,1051573478,142416326,-54954916,154312255,-18330
1375383817887,-221,-440,2033,-6,-28,0,1051571012,142419413,-55028005,154300163,-18324
1375383817895,-229,-452,2044,-5,-32,-2,1051568442,142427404,-55110203,154280971,-18319
1375383817895,-244,-449,2047,-5,-34,-4,1051566206,142437683,-55197798,154255403,-18314
1375383817906,-244,-466,2040,-3,-31,-5,1051563958,142452254,-55277579,154228703,-18309
1375383817906,-263,-464,2040,-3,-32,-6,1051561709,142469595,-55359499,154198629,-18304
1375383817916,-261,-457,2061,-2,-31,-6,1051559053,142489376,-55440499,154169362,-18299
1375383817916,-257,-454,2052,-1,-29,-5,1051556118,142509446,-55515458,154143857,-18294
1375383817928,-247,-454,2037,-1,-22,-4,1051553316,142529569,-55573236,154123542,-18289
1375383817928,-249,-449,2046,-1,-21,-2,1051549873,142549303,-55627928,154109052,-18284
1375383817931,-241,-453,2042,-1,-19,-1,1051546406,142567210,-55677596,154098207,-18278
1375383817931,-237,-455,2045,-2,-20,0,1051543300,142579834,-55727448,154089704,-18273
1375383817968,-221,-451,2062,-3,-20,1,1051540193,142589576,-55777507,154083773,-18268
1375383817968,-220,-445,2040,-4,-16,2,1051537957,142593457,-55815065,154081841,-18263
1375383817973,-210,-441,2052,-5,-13,4,1051535708,142592997,-55845646,154086533,-18258
1375383817973,-211,-451,2040,-8,-8,5,1051535150,142580923,-55862540,154095387,-18253
1375383817975,-219,-450,2055,-16,10,10,1051538432,142537098,-55834688,154123635,-18248
1375383817975,-209,-451,2037,-24,26,16,1051544658,142462956,-55768396,154173702,-18243
1375383817977,-217,-450,2038,-21,9,14,1051548030,142405073,-55746753,154212002,-18238
1375383817977,-232,-445,2037,-21,-7,11,1051549804,142357010,-55769347,154236104,-18233
1375383817985,-237,-455,2027,-18,-13,9,1051550270,142319813,-55808660,154253034,-18227
1375383817985,-236,-460,2045,-17,-23,8,1051549042,142291266,-55875701,154263473,-18222
1375383818021,-257,-458,2040,-19,-30,8,1051547557,142259999,-55962687,154270899,-18217
1375383818021,-292,-454,2058,-17,-24,7,1051546395,142232284,-56034260,154278397,-18212
1375383818024,-272,-466,2055,-16,-10,8,1051546301,142200977,-56070626,154294685,-18207
1375383818024,-244,-445,2046,-20,10,11,1051549888,142148212,-56051549,154325785,-18202
1375383818028,-248,-451,2043,-16,9,11,1051552334,142104475,-56030783,154356934,-18197
1375383818028,-239,-440,2051,-14,6,8,1051554666,142068908,-56016873,154378834,-18192
1375383818031,-241,-441,2059,-13,2,7,1051556710,142036265,-56012407,154396568,-18186
1375383818031,-239,-440,2049,-11,2,8,1051557588,142008981,-56007618,154417423,-18181
1375383818034,-218,-434,2052,-13,6,7,1051560212,141974789,-55991978,154436667,-18176
1375383818034,-208,-433,2035,-14,10,8,1051563710,141934890,-55963479,154459849,-18171
1375383818044,-205,-443,2046,-14,10,8,1051567237,141895286,-55934022,154482891,-18166
1375383818044,-218,-442,2038,-13,7,8,1051569887,141860513,-55911873,154504808,-18161
1375383818053,-224,-447,2047,-12,5,8,1051571693,141829724,-55896611,154526305,-18156
1375383818053,-219,-447,2036,-14,9,9,1051574348,141791945,-55871867,154551849,-18151
1375383818065,-229,-452,2031,-16,12,8,1051578610,141747775,-55838714,154575353,-18145
1375383818065,-241,-452,2034,-17,14,9,1051582930,141700758,-55801936,154602344,-18140
1375383818077,-242,-456,2042,-19,16,8,1051588595,141647580,-55761428,154627162,-18135
1375383818077,-258,-453,2041,-19,18,8,1051594522,141593834,-55715279,154652712,-18130
1375383818085,-259,-454,2045,-20,14,8,1051600089,141538891,-55682765,154676860,-18125
1375383818085,-262,-455,2045,-18,7,8,1051603851,141492467,-55669098,154698672,-18120
1375383818121,-259,-453,2054,-16,4,5,1051607601,141453513,-55662225,154711279,-18115
1375383818121,-247,-450,2028,-15,0,2,1051611714,141418903,-55664580,154714109,-18110
1375383818124,-252,-439,2053,-16,-13,0,1051614761,141390257,-55701526,154706289,-18105
1375383818124,-252,-432,2056,-11,-15,-1,1051616251,141374585,-55742121,154695858,-18100
1375383818130,-231,-435,2068,-7,-13,-2,1051617050,141368530,-55775169,154684048,-18094
